"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"filterSeq",0,1.9,1.9,1.9,1.9,1.9,1.9,1.9,3.9,1.9,8,4.9,2.9
"filterSpec",0,2,2,2,2,3,8,2,2,3,2,2,2
"filterTaxCov",0,0,0.01,0.02,0.05,0,0,0,0,0,0,0,0
"numbCells",455,455,322,232,146,340,166,455,153,340,25,80,293
"propCells",0.8852,0.8852,0.6265,0.4514,0.284,0.6615,0.323,0.8852,0.2977,0.6615,0.0486,0.1556,0.57
"temperature",0.3374,0.3374,0.3542,0.3177,0.2487,0.3667,0.3837,0.3374,0.3674,0.3667,0.2139,0.4421,0.3449
"slopeAvg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"regions",0.1739,0.1739,0.2866,0.1849,0.1133,0.1662,0.3059,0.1739,0.4569,0.1662,0.2692,0.4629,0.3191
"autocor",0.1426,0.1426,0.1432,0.1173,0.0515,0.1462,0.0286,0.1426,0.0563,0.1462,-0.1549,-0.0931,0.1401
"ajustedRsquare",0.1708,0.1708,0.1997,0.1718,0.1159,0.2373,0.3596,0.1708,0.1559,0.2373,-0.1293,0.1742,0.2072
"corrGDrichness",0.2096,0.2096,0.1292,0.0959,0.0654,0.2573,0.5133,0.2096,0.2929,0.2573,0.0422,0.2908,0.2082
"corrGDrichnessPvalue",0.0106,0.0106,0.0479,0.189,0.4179,0.0531,0.019,0.0106,0.049,0.0531,0.8129,0.0707,0.0771
"neighbourhoodRadius",5000,5000,5000,5000,6000,5000,7000,5000,7000,5000,7000,6000,5000
"temperaturePvalue",0,0,0,0,0.0028,0,0,0,0,0,0.4539,3e-04,0
"temperatureDiff",-0.0112,-0.0112,0.0382,-0.0688,-0.2711,0.0748,0.1245,-0.0112,0.0767,0.0748,-0.3731,0.2956,0.0109
"regionsPvalue",0.0457,0.0457,0.0026,0.1088,0.4353,0.0523,9e-04,0.0457,0.0051,0.0523,0.5888,0.0372,0.0019
"regionsDiff",-0.2139,-0.2139,0.2959,-0.164,-0.4878,-0.2486,0.3831,-0.2139,1.0661,-0.2486,0.2171,1.0932,0.4428
"autocorPvalue",0.001,0.001,0.0022,0.0314,0.4213,6e-04,0.5173,0.001,0.4593,6e-04,0.5026,0.3848,0.0055
"autocorDiff",0.8705,0.8705,0.8781,0.5383,-0.3241,0.9179,-0.6248,0.8705,-0.2621,0.9179,-3.031,-2.2206,0.8381
"ajustedRsquareDiff",0.0689,0.0689,0.2498,0.0749,-0.2745,0.4851,1.2501,0.0689,-0.0246,0.4851,-1.8091,0.0903,0.2964
